Timestamp                       Thread     Type        Activity             PID    TTL  
2025-12-05 14:28:00.832806-0300 0x136531b  Activity    0x1009760            2893   0    xetex: (libsystem_info.dylib) Retrieve User by ID
2025-12-05 14:28:00.833296-0300 0x136531b  Default     0x0                  2893   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x6000035742d0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2025-12-05 14:28:00.833334-0300 0x1365334  Default     0x0                  2893   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x6000035743c0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.agent
2025-12-05 14:28:00.834731-0300 0x136531b  Default     0x0                  2893   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x60000367c500] activating connection: mach=true listener=false peer=false name=com.apple.fonts
2025-12-05 14:28:00.837152-0300 0x136531b  Default     0x0                  2893   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x600003578000] activating connection: mach=true listener=false peer=false name=com.apple.distributed_notifications@Uv3
2025-12-05 14:28:00.862925-0300 0x136531b  Activity    0x1009761            2893   0    xetex: (CoreFoundation) Loading Preferences From User CFPrefsD
2025-12-05 14:28:03.583776-0300 0x136536b  Activity    0x1009840            2902   0    xetex: (libsystem_info.dylib) Retrieve User by ID
2025-12-05 14:28:03.584272-0300 0x136536b  Default     0x0                  2902   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x600000a68000] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2025-12-05 14:28:03.584309-0300 0x1365370  Default     0x0                  2902   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x600000a680f0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.agent
2025-12-05 14:28:03.585416-0300 0x136536b  Default     0x0                  2902   0    xetex: (libxpc.dylib) [com.apple.xpc:connection] [0x60000096c600] activating connection: mach=true listener=false peer=false name=com.apple.fonts
